ALBAN,VALLECAU
BARRANQ3,ATLANTIC
BARRANQ4,ATLANTIC
BETANIA,HUILACAQ
CALIMA1,VALLECAU
CHIVOR,CHIVOR
COINCAUCA,CAUCANAR
COROZO1,COROZO
CSANCARLOS,VALLECAU
CTGEMG1,ATLANTIC
CTGEMG2,ATLANTIC
CTGEMG3,ATLANTIC
CVALLEC1,VALLECAU
DORADA1,CQR
ECUADOR11,ECUADOR
ECUADOR12,ECUADOR
ECUADOR13,ECUADOR
ECUADOR14,ECUADOR
ECUADOR21,ECUADOR
ECUADOR22,ECUADOR
ECUADOR23,ECUADOR
ECUADOR24,ECUADOR
ESMERALDA,CQR
FLORES1,ATLANTIC
FLORES21,ATLANTIC
FLORES3,ATLANTIC
FLORESIVB,ATLANTIC
FLORIDA2,CAUCANAR
GUAJIR11,GCM
GUAJIR21,GCM
GUATAPE,ANTIOQUI
GUATRON,ANTIOQUI
GUAVIO,CHIVOR
INSULA,CQR
JAGUAS,ANTIOQUI
LATASAJERA,ANTIOQUI
MAGUAFRE,ANTIOQUI
MANTIOQ1,ANTIOQUI
MBELMONTE,CQR
MBOGOTA1,BOGOTA
MCALDERAS,SANCARLO
MCARUQUIA,ANTIOQUI
MCASCADA1,ANTIOQUI
MCAUCAN1,CAUCANAR
MCAUCAN2,CAUCANAR
MCIMARR1,CHIVOR
MCQR1,CQR
MCUNDINAMARCA,BOGOTA
MCURRUCU,TOLIMA
MELBOSQUE,CQR
MEMCALI,VALLECAU
MERILEC1,NORDESTE
MGUANAQUITA,ANTIOQUI
MHUILAQ1,HUILACAQ
MIEL1,CQR
MJEPIRAC,GCM
MMORRO1,CHIVOR
MMORRO2,CHIVOR
MNLIBARE,CQR
MNORDE1,NORDESTE
MPRADO4,TOLIMA
MRIOMAYO,CAUCANAR
MSANTANA,BOGOTA
MSANTARITA,ANTIOQUI
MSANTIAGO,ANTIOQUI
MTOLIMA1,TOLIMA
MTULUA,VALLECAU
MVALLEC1,VALLECAU
MYOPAL1,CHIVOR
M_AMAIME,VALLECAU
M_PROVIDEN,VALLECAU
PAGUA,BOGOTA
PAIPA1,CHIVOR
PAIPA2,CHIVOR
PAIPA3,CHIVOR
PAIPA4,CHIVOR
PALENQ3,NORDESTE
PLAYAS,ANTIOQUI
PORCE2,ANTIOQUI
PORCE3,ANTIOQUI
PORCE3P,ANTIOQUI
PRADO,TOLIMA
PROELEC1,ATLANTIC
PROELEC2,ATLANTIC
RPIEDRAS,ANTIOQUI
SALVAJINA,VALLECAU
SANCARLOS,SANCARLO
SANFRANCISCO,CQR
TASAJER1,NORDESTE
TCANDEL1,ATLANTIC
TCANDEL2,ATLANTIC
TCENTRO1,NORDESTE
TEBSA,ATLANTIC
TEMCALI,VALLECAU
TPIEDRAS,TOLIMA
TSIERRA,MAGNAMED
TVALLE,VALLECAU
TYOPAL2,CHIVOR
URRA,CERROMAT
VENEZUE1,CUATRICENTENARIO
ZIPAEMG2,BOGOTA
ZIPAEMG3,BOGOTA
ZIPAEMG4,BOGOTA
ZIPAEMG5,BOGOTA
